Source,Target
Gottfried Wilhelm Leibniz,arithmetic
Gottfried Wilhelm Leibniz,calculus
Gottfried Wilhelm Leibniz,combinatorics
Gottfried Wilhelm Leibniz,differential calculus
Gottfried Wilhelm Leibniz,differential geometry
Gottfried Wilhelm Leibniz,epidemiology
Gottfried Wilhelm Leibniz,fractal geometry
Gottfried Wilhelm Leibniz,game theory
Gottfried Wilhelm Leibniz,geometry
Gottfried Wilhelm Leibniz,infinitesimal analysis
Gottfried Wilhelm Leibniz,integral calculus
Gottfried Wilhelm Leibniz,linear algebra
Gottfried Wilhelm Leibniz,mathematical logic
Gottfried Wilhelm Leibniz,model theory
Gottfried Wilhelm Leibniz,non-standard analysis
Gottfried Wilhelm Leibniz,probability theory
Gottfried Wilhelm Leibniz,set theory
Gottfried Wilhelm Leibniz,topology
Wilhelm Schickard,arithmetic
Pierre-Simon Laplace,algebra
Pierre-Simon Laplace,analysis
Pierre-Simon Laplace,applied mathematics
Pierre-Simon Laplace,arithmetic
Pierre-Simon Laplace,calculus
Pierre-Simon Laplace,differential calculus
Pierre-Simon Laplace,mathematical physics
Pierre-Simon Laplace,probability theory
Pierre-Simon Laplace,ring theory
Pierre-Simon Laplace,statistics
Georg Simon Ohm,analytic geometry
Georg Simon Ohm,geometry
Adolphe Quetelet,analysis
Adolphe Quetelet,statistics
Christoph Rudolff,algebra
Christoph Rudolff,arithmetic
Maximilian Hell,arithmetic
Franz Ernst Neumann,mathematical physics
Abraham Gotthelf Kästner,geometry
Johann Christian Martin Bartels,geometry
Giordano Bruno,geometry
Thomas Hobbes,analysis
Thomas Hobbes,geometry
Christiaan Huygens,algebra
Christiaan Huygens,analysis
Christiaan Huygens,analytic geometry
Christiaan Huygens,applied mathematics
Christiaan Huygens,calculus
Christiaan Huygens,classical geometry
Christiaan Huygens,geometry
Christiaan Huygens,infinitesimal analysis
Christiaan Huygens,infinitesimal calculus
Christiaan Huygens,mathematical physics
Christiaan Huygens,probability theory
Christiaan Huygens,pure mathematics
Karl Mollweide,calculus
Karl Mollweide,trigonometry
Charles Babbage,algebra
Charles Babbage,analysis
Charles Babbage,arithmetic
Charles Babbage,calculus
Charles Babbage,cryptography
Charles Babbage,differential calculus
Charles Babbage,mathematical sciences
Charles Babbage,statistics
Edmond Halley,actuarial science
Edmond Halley,algebra
Edmond Halley,analysis
Edmond Halley,statistics
Pierre de Fermat,algebra
Pierre de Fermat,analysis
Pierre de Fermat,analytic geometry
Pierre de Fermat,arithmetic
Pierre de Fermat,calculus
Pierre de Fermat,differential calculus
Pierre de Fermat,differential geometry
Pierre de Fermat,geometry
Pierre de Fermat,infinitesimal analysis
Pierre de Fermat,infinitesimal calculus
Pierre de Fermat,number theory
Pierre de Fermat,probability theory
Pierre de Fermat,set theory
Michael Maestlin,geometry
Michael Maestlin,trigonometry
Regiomontanus,algebra
Regiomontanus,arithmetic
Regiomontanus,mathematical sciences
Regiomontanus,spherical trigonometry
Regiomontanus,trigonometry
René Descartes,algebra
René Descartes,analysis
René Descartes,analytic geometry
René Descartes,calculus
René Descartes,geometry
René Descartes,infinitesimal calculus
René Descartes,mathematical biology
Immanuel Kant,analysis
Immanuel Kant,mathematical physics
Jean-Baptiste Biot,analysis
Jean-Baptiste Biot,tensor
Petrus Apianus,arithmetic
Petrus Apianus,trigonometry
Athanasius Kircher,combinatorics
Michael Stifel,algebra
Michael Stifel,arithmetic
Michael Stifel,calculus
Michael Stifel,number theory
Johann Peter Süssmilch,statistics
William Petty,analysis
William Petty,arithmetic
William Petty,statistics
Franz Aepinus,mathematical sciences
Franz Aepinus,pure mathematics
August Ludwig von Schlözer,statistics
Johan Gabriel Doppelmayr,spherical trigonometry
Johan Gabriel Doppelmayr,trigonometry
René Antoine Ferchault de Réaumur,geometry
Thomas Reid,algebra
Ludolph van Ceulen,arithmetic
Nicole Oresme,analysis
Nicole Oresme,geometry
Christoph Gudermann,analysis
Christoph Gudermann,geometry
Christoph Gudermann,spherical geometry
Johann Friedrich Pfaff,algebra
Johann Friedrich Pfaff,applied mathematics
Johann Friedrich Pfaff,calculus
Johann Friedrich Pfaff,integral calculus
Karl Georg Christian von Staudt,algebra
Karl Georg Christian von Staudt,arithmetic
Karl Georg Christian von Staudt,geometry
Karl Georg Christian von Staudt,projective geometry
Karl Georg Christian von Staudt,synthetic geometry
Karl Georg Christian von Staudt,topology
Johann Friedrich Hennert,calculus
Johann Friedrich Hennert,differential calculus
Ruđer Josip Bošković,analysis
Ruđer Josip Bošković,geometry
Ruđer Josip Bošković,spherical trigonometry
Ruđer Josip Bošković,trigonometry
Farkas Bolyai,algebra
Farkas Bolyai,analysis
Farkas Bolyai,arithmetic
Farkas Bolyai,geometry
William Whewell,analysis
William Whewell,applied mathematics
William Whewell,geometry
William Whewell,mathematical economics
William Whewell,mathematical physics
William Whewell,pure mathematics
Étienne-Louis Malus,geometry
Étienne-Louis Malus,line geometry
Thomas Harriot,algebra
Thomas Harriot,arithmetic
Thomas Harriot,calculus
Thomas Harriot,topology
Adam Adamandy Kochański,calculus
Johann Bernoulli,calculus
Johann Bernoulli,infinitesimal calculus
