Source,Target
Cornelius Lanczos,numerical analysis
Cornelius Lanczos,tensor
Karl Schwarzschild,algebra
Karl Schwarzschild,differential geometry
Karl Schwarzschild,geometric algebra
Karl Schwarzschild,geometry
Karl Schwarzschild,statistics
John Venn,analysis
John Venn,probability theory
John Venn,set theory
John Venn,statistics
Vito Volterra,analysis
Vito Volterra,functional analysis
Vito Volterra,mathematical biology
Vito Volterra,mathematical physics
Heinrich Burkhardt,algebra
Heinrich Burkhardt,group theory
Heinrich Burkhardt,invariant theory
Robert Stawell Ball,spherical trigonometry
Robert Stawell Ball,trigonometry
Joseph Plateau,mathematical sciences
Harold Jeffreys,mathematical physics
Harold Jeffreys,statistics
Harold Jeffreys,tensor
Ivan Ivanovich Zhegalkin,algebra
Ivan Ivanovich Zhegalkin,mathematical logic
Giacinto Morera,algebra
Giacinto Morera,algebraic analysis
Giacinto Morera,analysis
Giacinto Morera,calculus
Giacinto Morera,complex analysis
Giacinto Morera,differential geometry
Giacinto Morera,function theory
Giacinto Morera,geometry
Giacinto Morera,integral calculus
Giacinto Morera,mathematical physics
Giacinto Morera,mathematical sciences
Giacomo Albanese,algebra
Giacomo Albanese,algebraic geometry
Giacomo Albanese,geometry
Václav Hlavatý,field theory
Václav Hlavatý,geometry
Václav Hlavatý,line geometry
Forest Ray Moulton,geometry
Tibor Radó,algebra
Tibor Radó,algebraic topology
Tibor Radó,analysis
Tibor Radó,topology
Pavel Aleksandrov,algebra
Pavel Aleksandrov,algebraic topology
Pavel Aleksandrov,calculus
Pavel Aleksandrov,calculus of variations
Pavel Aleksandrov,combinatorial topology
Pavel Aleksandrov,general topology
Pavel Aleksandrov,geometry
Pavel Aleksandrov,mathematical logic
Pavel Aleksandrov,modern algebra
Pavel Aleksandrov,set theory
Pavel Aleksandrov,topology
Auguste Kerckhoffs,cryptography
Francesco Brioschi,algebra
Francesco Brioschi,applied mathematics
Annie Scott Dill Maunder,analysis
Jerzy Neyman,statistics
S. R. Ranganathan,analysis
Benjamin Peirce,algebra
Benjamin Peirce,analysis
Benjamin Peirce,linear algebra
Benjamin Peirce,number theory
Benjamin Peirce,pure mathematics
Benjamin Peirce,statistics
Pelageya Polubarinova-Kochina,applied mathematics
"William Thomson, 1st Baron Kelvin",analysis
"William Thomson, 1st Baron Kelvin",knot theory
"William Thomson, 1st Baron Kelvin",mathematical physics
"William Thomson, 1st Baron Kelvin",potential theory
"William Thomson, 1st Baron Kelvin",statistical mechanics
"William Thomson, 1st Baron Kelvin",topology
Joseph-Émile Barbier,combinatorics
Jérôme Franel,analytic number theory
Jérôme Franel,number theory
Traian Lalescu,algebra
Traian Lalescu,geometry
Traian Lalescu,mathematical physics
Traian Lalescu,statistics
Horace Lamb,applied mathematics
Horace Lamb,calculus
Horace Lamb,infinitesimal calculus
Horatio Scott Carslaw,applied mathematics
Horatio Scott Carslaw,calculus
Horatio Scott Carslaw,infinitesimal calculus
Pierre Wantzel,geometry
Sergei Natanovich Bernstein,algebra
Sergei Natanovich Bernstein,analysis
Sergei Natanovich Bernstein,approximation theory
Sergei Natanovich Bernstein,calculus
Sergei Natanovich Bernstein,calculus of variations
Sergei Natanovich Bernstein,constructive function theory
Sergei Natanovich Bernstein,differential geometry
Sergei Natanovich Bernstein,function theory
Sergei Natanovich Bernstein,geometry
Sergei Natanovich Bernstein,probability theory
Sergei Natanovich Bernstein,statistics
Corrado Segre,algebra
Corrado Segre,algebraic geometry
Corrado Segre,analytic geometry
Corrado Segre,geometry
Corrado Segre,group theory
Corrado Segre,projective geometry
Gábor Szegő,analysis
Gábor Szegő,applied mathematics
Gábor Szegő,calculus
Gábor Szegő,mathematical physics
Gábor Szegő,numerical analysis
Gábor Szegő,stochastic process
Gábor Szegő,theoretical physics
Joseph Larmor,theoretical physics
Alexander von Brill,algebra
Christian Heinrich von Nagel,algebra
Christian Heinrich von Nagel,geometry
Karl Bopp,arithmetic
Siegmund Günther,trigonometry
Ludwig Boltzmann,analysis
Ludwig Boltzmann,statistical mechanics
Ludwig Boltzmann,statistics
Christian Doppler,geometry
Friedrich Hultsch,geometry
Otakar Borůvka,abstract algebra
Otakar Borůvka,algebra
Otakar Borůvka,differential geometry
Otakar Borůvka,geometry
Otakar Borůvka,graph theory
Stefan Mazurkiewicz,analysis
Stefan Mazurkiewicz,point-set topology
Stefan Mazurkiewicz,topology
Paul Montel,analysis
Paul Montel,complex analysis
Luigi Bianchi,algebra
Luigi Bianchi,function theory
Luigi Bianchi,tensor
Luigi Bianchi,topology
Guido Castelnuovo,algebra
Guido Castelnuovo,algebraic geometry
Guido Castelnuovo,calculus
Guido Castelnuovo,differential geometry
Guido Castelnuovo,geometry
Guido Castelnuovo,probability theory
Guido Castelnuovo,statistics
Yevgraf Fyodorov,analysis
Yevgraf Fyodorov,geometry
Arnaud Denjoy,analysis
Arnaud Denjoy,harmonic analysis
Carl Anton Bjerknes,applied mathematics
Carl Anton Bjerknes,pure mathematics
Nikoloz Muskhelishvili,algebra
Nikoloz Muskhelishvili,applied mathematics
Nikoloz Muskhelishvili,field theory
Nikoloz Muskhelishvili,function theory
Nikoloz Muskhelishvili,linear algebra
Nikoloz Muskhelishvili,mathematical physics
Nikoloz Muskhelishvili,potential theory
Nikoloz Muskhelishvili,theoretical physics
Delfino Codazzi,algebra
Delfino Codazzi,analytic geometry
Delfino Codazzi,differential geometry
Delfino Codazzi,differential geometry of surfaces
Delfino Codazzi,geometry
Delfino Codazzi,tensor
Juliusz Schauder,analysis
Juliusz Schauder,functional analysis
Juliusz Schauder,mathematical physics
Juliusz Schauder,nonlinear analysis
Ronald Fisher,analysis
Ronald Fisher,game theory
Ronald Fisher,statistical theory
Ronald Fisher,statistics
Tatyana Afanasyeva,geometry
Tatyana Afanasyeva,statistical mechanics
Tatyana Afanasyeva,theoretical physics
Heinrich Liebmann,differential geometry
Heinrich Liebmann,geometry
Heinrich Liebmann,hyperbolic geometry
Alfred Kempe,algebra
Hermann Künneth,algebra
Ludwig Burmester,geometry
Ludwig Burmester,projective geometry
Ludwig Burmester,synthetic geometry
Friedrich Schilling,geometry
Friedrich Schilling,spherical trigonometry
Friedrich Schilling,trigonometry
Alwin Korselt,algebra
Alwin Korselt,geometry
George William Hill,analysis
Viktor Bunyakovsky,analysis
Viktor Bunyakovsky,applied mathematics
Viktor Bunyakovsky,mathematical physics
Viktor Bunyakovsky,number theory
Viktor Bunyakovsky,probability theory
Viktor Bunyakovsky,statistics
Viktor Bunyakovsky,theoretical physics
René-Louis Baire,analysis
René-Louis Baire,set theory
Eugenio Beltrami,calculus
Eugenio Beltrami,differential calculus
Eugenio Beltrami,differential geometry
Eugenio Beltrami,geometry
Eugenio Beltrami,hyperbolic geometry
Eugenio Beltrami,mathematical physics
Eugenio Beltrami,spherical trigonometry
Eugenio Beltrami,tensor
Eugenio Beltrami,trigonometry
Solomon Lefschetz,algebra
Solomon Lefschetz,algebraic geometry
Solomon Lefschetz,algebraic topology
Solomon Lefschetz,analysis
Solomon Lefschetz,cohomology theory
Solomon Lefschetz,geometry
Solomon Lefschetz,homology theory
Solomon Lefschetz,topology
Anders Wiman,algebra
Anders Wiman,algebraic geometry
Anders Wiman,function theory
Anders Wiman,geometry
Anders Wiman,group theory
Anders Wiman,measure theory
Anders Wiman,number theory
Georges Henri Halphen,algebra
Georges Henri Halphen,algebraic geometry
Georges Henri Halphen,differential geometry
Georges Henri Halphen,enumerative geometry
Georges Henri Halphen,geometry
Georges Henri Halphen,invariant theory
Georges Henri Halphen,number theory
Georges Henri Halphen,projective differential geometry
Georges Henri Halphen,singularity theory
Georges Henri Halphen,statistics
Teiji Takagi,algebra
Teiji Takagi,algebraic number theory
Teiji Takagi,class field theory
Teiji Takagi,field theory
Teiji Takagi,geometry
Teiji Takagi,number theory
André Sainte-Laguë,graph theory
Cesare Arzelà,analysis
Edward Charles Titchmarsh,analysis
Edward Charles Titchmarsh,analytic number theory
Edward Charles Titchmarsh,number theory
Dmitri Egorov,analysis
Dmitri Egorov,differential geometry
Dmitri Egorov,geometry
Dmitri Egorov,real analysis
Francis Sowerby Macaulay,algebra
Francis Sowerby Macaulay,algebraic geometry
Francis Sowerby Macaulay,commutative algebra
Francis Sowerby Macaulay,computer algebra
Francis Sowerby Macaulay,geometry
Jan Arnoldus Schouten,analysis
Jan Arnoldus Schouten,calculus
Jan Arnoldus Schouten,differential geometry
Jan Arnoldus Schouten,geometry
Jan Arnoldus Schouten,matrix calculus
Jan Arnoldus Schouten,tensor
Jan Arnoldus Schouten,vector analysis
Ernest William Hobson,analysis
Ernest William Hobson,general topology
Ernest William Hobson,real analysis
Ernest William Hobson,topology
Willem Abraham Wythoff,combinatorial game theory
Willem Abraham Wythoff,game theory
Willem Abraham Wythoff,geometry
Willem Abraham Wythoff,number theory
Edward Kasner,geometry
Paul Pierre Lévy,analysis
Paul Pierre Lévy,probability theory
Paul Pierre Lévy,stochastic process
Grigorii Mikhailovich Fichtenholz,analysis
Grigorii Mikhailovich Fichtenholz,functional analysis
Grigorii Mikhailovich Fichtenholz,real analysis
Eduard Weyr,algebra
Eduard Weyr,differential geometry
Eduard Weyr,geometry
Egon Pearson,statistics
H. F. Baker,algebra
H. F. Baker,algebraic geometry
H. F. Baker,geometry
William Henry Bragg,analysis
William Henry Bragg,applied mathematics
George David Birkhoff,algebra
George David Birkhoff,algebraic graph theory
George David Birkhoff,analysis
George David Birkhoff,applied mathematics
George David Birkhoff,functional analysis
George David Birkhoff,geometry
George David Birkhoff,graph theory
George David Birkhoff,group theory
George David Birkhoff,measure theory
George David Birkhoff,number theory
George David Birkhoff,probability theory
George David Birkhoff,statistical mechanics
Margarethe Kahn,algebra
Margarethe Kahn,algebraic geometry
Margarethe Kahn,geometry
Margarethe Kahn,topology
Alfred Russel Wallace,analysis
Alfred Russel Wallace,statistics
Ludwig Stickelberger,algebra
Ludwig Stickelberger,algebraic number theory
Ludwig Stickelberger,linear algebra
Ludwig Stickelberger,number theory
Stanley Skewes,number theory
Gyula Kőnig,analysis
Gyula Kőnig,arithmetic
Gyula Kőnig,complex analysis
Gyula Kőnig,elimination theory
Gyula Kőnig,set theory
Hjalmar Mellin,algebra
Luitzen Egbertus Jan Brouwer,algebra
Luitzen Egbertus Jan Brouwer,algebraic topology
Luitzen Egbertus Jan Brouwer,analysis
Luitzen Egbertus Jan Brouwer,complex analysis
Luitzen Egbertus Jan Brouwer,constructive mathematics
Luitzen Egbertus Jan Brouwer,function theory
Luitzen Egbertus Jan Brouwer,measure theory
Luitzen Egbertus Jan Brouwer,set theory
Luitzen Egbertus Jan Brouwer,topology
"Sir George Stokes, 1st Baronet",analysis
"Sir George Stokes, 1st Baronet",calculus
"Sir George Stokes, 1st Baronet",mathematical physics
"Sir George Stokes, 1st Baronet",vector calculus
Louis J. Mordell,geometry
Louis J. Mordell,geometry of numbers
Louis J. Mordell,number theory
Gino Fano,algebra
Gino Fano,algebraic geometry
Gino Fano,analytic geometry
Gino Fano,finite geometry
Gino Fano,geometry
Gino Fano,group theory
Gino Fano,synthetic geometry
Vojtěch Jarník,analysis
Vojtěch Jarník,calculus
Vojtěch Jarník,combinatorial optimization
Vojtěch Jarník,geometry
Vojtěch Jarník,geometry of numbers
Vojtěch Jarník,integral calculus
Vojtěch Jarník,number theory
Vojtěch Jarník,real analysis
Arthur Herbert Copeland,algebra
Arthur Herbert Copeland,trigonometry
Alfredo Capelli,algebra
Arthur Cayley,algebra
Arthur Cayley,algebraic geometry
Arthur Cayley,geometry
Arthur Cayley,hyperbolic geometry
Arthur Cayley,linear algebra
Arthur Cayley,pure mathematics
Nikolai Luzin,analysis
Nikolai Luzin,calculus
Nikolai Luzin,complex analysis
Nikolai Luzin,descriptive set theory
Nikolai Luzin,point-set topology
Nikolai Luzin,real analysis
Nikolai Luzin,set theory
Nikolai Luzin,topology
Hector Munro Macdonald,pure mathematics
Giuseppe Lauricella,analysis
Douglas Hartree,analysis
Douglas Hartree,arithmetic
Douglas Hartree,mathematical physics
Douglas Hartree,numerical analysis
Alfred North Whitehead,algebra
Alfred North Whitehead,analysis
Alfred North Whitehead,applied mathematics
Alfred North Whitehead,geometry
Alfred North Whitehead,mathematical logic
Alfred North Whitehead,topology
Alfred North Whitehead,universal algebra
Charles Sanders Peirce,algebra
Charles Sanders Peirce,analysis
Charles Sanders Peirce,applied mathematics
Charles Sanders Peirce,arithmetic
Charles Sanders Peirce,axiomatic set theory
Charles Sanders Peirce,calculus
Charles Sanders Peirce,lattice theory
Charles Sanders Peirce,linear algebra
Charles Sanders Peirce,pure mathematics
Charles Sanders Peirce,set theory
Charles Sanders Peirce,statistics
Charles Sanders Peirce,topology
Augustus De Morgan,algebra
Augustus De Morgan,analysis
Augustus De Morgan,applied mathematics
Augustus De Morgan,arithmetic
Augustus De Morgan,calculus
Augustus De Morgan,geometric algebra
Augustus De Morgan,hyperbolic trigonometry
Augustus De Morgan,order theory
Augustus De Morgan,pure mathematics
Augustus De Morgan,trigonometry
Ludwig Föppl,analysis
Ludwig Föppl,complex analysis
Ludwig Föppl,geometry
Ludwig Föppl,statistics
Kārlis Balodis,statistics
Henry M. Sheffer,algebra
Henry M. Sheffer,calculus
Eric Harold Neville,complex geometry
Eric Harold Neville,differential geometry
Eric Harold Neville,geometry
Torsten Carleman,analysis
Torsten Carleman,classical analysis
Torsten Carleman,complex analysis
Torsten Carleman,functional analysis
Torsten Carleman,mathematical physics
Torsten Carleman,operator theory
Torsten Carleman,spectral theory
Stanisław Leśniewski,axiomatic set theory
Stanisław Leśniewski,calculus
Stanisław Leśniewski,order theory
Stanisław Leśniewski,set theory
Harry Vandiver,applied mathematics
Harry Vandiver,number theory
Harry Vandiver,pure mathematics
Dmitry Grave,algebra
Dmitry Grave,algebraic analysis
Dmitry Grave,analysis
Dmitry Grave,applied mathematics
Dmitry Grave,number theory
Dirk Jan Struik,classical differential geometry
Dirk Jan Struik,differential geometry
Dirk Jan Struik,geometry
Kazimierz Ajdukiewicz,analysis
Kazimierz Ajdukiewicz,model theory
Grace Chisholm Young,calculus
Grace Chisholm Young,geometry
Grace Chisholm Young,set theory
Erik Ivar Fredholm,analysis
Erik Ivar Fredholm,functional analysis
Erik Ivar Fredholm,operator theory
Julius Petersen,algebra
Julius Petersen,analysis
Julius Petersen,complex analysis
Julius Petersen,cryptography
Julius Petersen,geometry
Julius Petersen,graph theory
Julius Petersen,mathematical economics
Julius Petersen,mathematical physics
Julius Petersen,number theory
Giovanni Frattini,analysis
Giovanni Frattini,differential geometry
Giovanni Frattini,geometry
Giovanni Frattini,group theory
Norbert Wiener,algebra
Norbert Wiener,analysis
Norbert Wiener,applied mathematics
Norbert Wiener,calculus
Norbert Wiener,functional analysis
Norbert Wiener,harmonic analysis
Norbert Wiener,mathematical logic
Norbert Wiener,measure theory
Norbert Wiener,real analysis
Norbert Wiener,set theory
Norbert Wiener,statistical theory
Norbert Wiener,stochastic process
Stefan Banach,algebra
Stefan Banach,analysis
Stefan Banach,functional analysis
Stefan Banach,mathematical sciences
Yegor Ivanovich Zolotarev,analysis
Yegor Ivanovich Zolotarev,calculus
Yegor Ivanovich Zolotarev,differential calculus
Yegor Ivanovich Zolotarev,integral calculus
Carlo Somigliana,potential theory
Robert H. Goddard,calculus
Robert H. Goddard,calculus of variations
József Kürschák,algebra
József Kürschák,geometry
József Kürschák,trigonometry
Rolf Nevanlinna,analysis
Rolf Nevanlinna,complex analysis
Rolf Nevanlinna,function theory
Rolf Nevanlinna,functional analysis
Rolf Nevanlinna,geometry
Paul Bernays,analysis
Paul Bernays,analytic number theory
Paul Bernays,arithmetic
Paul Bernays,axiomatic set theory
Paul Bernays,calculus
Paul Bernays,complex analysis
Paul Bernays,mathematical logic
Paul Bernays,number theory
Paul Bernays,set theory
Florian Cajori,applied mathematics
Geoffrey Ingram Taylor,applied mathematics
Andreas Speiser,algebra
Andreas Speiser,group theory
Andreas Speiser,ideal theory
Andreas Speiser,number theory
Jean-Claude Bouquet,calculus
Jean-Claude Bouquet,geometry
Jean-Claude Bouquet,integral calculus
Jean-Claude Bouquet,pure mathematics
Platon Poretsky,calculus
Platon Poretsky,mathematical logic
Antoni Łomnicki,analysis
Tadeusz Ważewski,analysis
Tadeusz Ważewski,set theory
Tadeusz Ważewski,topology
Frigyes Riesz,analysis
Frigyes Riesz,ergodic theory
Frigyes Riesz,functional analysis
Frigyes Riesz,general topology
Frigyes Riesz,spectral theory
Frigyes Riesz,topology
Oscar Zariski,algebra
Oscar Zariski,algebraic geometry
Oscar Zariski,birational geometry
Oscar Zariski,commutative algebra
Oscar Zariski,geometry
Oscar Zariski,rational geometry
Oscar Zariski,singularity theory
Oscar Zariski,topology
Oscar Zariski,valuation theory
Joseph Leonard Walsh,analysis
Erich Rothe,analysis
Erich Rothe,calculus
Erich Rothe,calculus of variations
Erich Rothe,functional analysis
Erich Rothe,linear functional analysis
Erich Rothe,mathematical physics
Erich Rothe,nonlinear functional analysis
Erich Rothe,topology
Alexander Aitken,algebra
Alexander Aitken,analysis
Alexander Aitken,numerical analysis
Alexander Aitken,statistics
Spiru Haret,algebra
Spiru Haret,chaos theory
Spiru Haret,geometry
Spiru Haret,trigonometry
Teofil Żebrawski,geometry
Jean Gaston Darboux,analysis
Jean Gaston Darboux,differential geometry
Jean Gaston Darboux,differential geometry of surfaces
Jean Gaston Darboux,geometry
Jean Gaston Darboux,real analysis
Jean Gaston Darboux,symplectic geometry
Aleksandr Kotelnikov,algebra
Aleksandr Kotelnikov,geometry
Aleksandr Kotelnikov,hyperbolic geometry
Aleksandr Kotelnikov,pure mathematics
Otto Schmidt,group theory
Ernest Julius Wilczynski,differential geometry
Ernest Julius Wilczynski,differential geometry of curves
Ernest Julius Wilczynski,geometry
Ernest Julius Wilczynski,projective differential geometry
Ernest de Jonquières,geometry
James Whitbread Lee Glaisher,number theory
Eugène Rouché,algebra
Eugène Rouché,analysis
Eugène Rouché,complex analysis
Eugène Rouché,linear algebra
Ludwig Berwald,differential geometry
Ludwig Berwald,geometry
Bruno Abakanowicz,statistics
Giovanni Vailati,geometry
Theodore von Kármán,analysis
Theodore von Kármán,applied mathematics
Niels Henrik Abel,algebra
Niels Henrik Abel,analysis
Niels Henrik Abel,group theory
Georg Bohlmann,actuarial science
Georg Bohlmann,applied mathematics
Georg Bohlmann,calculus
Georg Bohlmann,probability theory
Wilhelm Franz Meyer,algebra
Wilhelm Franz Meyer,geometry
Wilhelm Franz Meyer,invariant theory
George F C Griss,tensor
Percy Alexander MacMahon,algebra
Percy Alexander MacMahon,analysis
Percy Alexander MacMahon,arithmetic
Percy Alexander MacMahon,combinatorics
Percy Alexander MacMahon,enumerative combinatorics
Percy Alexander MacMahon,recreational mathematics
Joseph Jean Baptiste Neuberg,geometry
Maurice Lévy,geometry
Edward Vermilye Huntington,algebra
Edward Vermilye Huntington,axiomatic set theory
Edward Vermilye Huntington,geometry
Edward Vermilye Huntington,model theory
Edward Vermilye Huntington,pure mathematics
Edward Vermilye Huntington,set theory
Edward Vermilye Huntington,statistics
Roland Weitzenböck,algebra
Roland Weitzenböck,calculus
Roland Weitzenböck,differential geometry
Roland Weitzenböck,geometry
Roland Weitzenböck,tensor
Theodor Vahlen,algebra
Theodor Vahlen,applied mathematics
Theodor Vahlen,geometric algebra
Theodor Vahlen,number theory
Felix Pollaczek,analysis
Felix Pollaczek,mathematical physics
Felix Pollaczek,number theory
Felix Pollaczek,probability theory
Johann Heinrich Jakob Müller,analysis
Iris Runge,mathematical statistics
Iris Runge,statistics
Iris Runge,theoretical physics
Henry John Stephen Smith,arithmetic
Henry John Stephen Smith,higher arithmetic
Henry John Stephen Smith,matrix theory
Henry John Stephen Smith,measure theory
Henry John Stephen Smith,number theory
Peter Guthrie Tait,graph theory
Peter Guthrie Tait,knot theory
Peter Guthrie Tait,mathematical physics
Peter Guthrie Tait,topology
Georg Scheffers,algebra
Georg Scheffers,analytic geometry
Georg Scheffers,calculus
Georg Scheffers,differential geometry
Georg Scheffers,geometry
Georg Scheffers,integral calculus
Georg Scheffers,modern algebra
Mauro Picone,analysis
Mauro Picone,applied mathematics
Mauro Picone,numerical analysis
Luther P. Eisenhart,differential geometry
Luther P. Eisenhart,differential geometry of curves
Luther P. Eisenhart,geometry
G.H. Hardy,analysis
G.H. Hardy,analytic number theory
G.H. Hardy,applied mathematics
G.H. Hardy,differential geometry
G.H. Hardy,geometry
G.H. Hardy,number theory
G.H. Hardy,pure mathematics
Francis Guthrie,topology
Giulio Ascoli,analysis
Giulio Ascoli,measure theory
Hilda Geiringer,applied mathematics
Hilda Geiringer,mathematical statistics
Hilda Geiringer,probability theory
Hilda Geiringer,statistics
Eduard Čech,differential geometry
Eduard Čech,geometry
Eduard Čech,projective differential geometry
Eduard Čech,topology
Alfred J. Lotka,analysis
Alfred J. Lotka,epidemiology
Alfred J. Lotka,mathematical biology
Harald Cramér,actuarial science
Harald Cramér,analysis
Harald Cramér,analytic number theory
Harald Cramér,large deviations theory
Harald Cramér,mathematical statistics
Harald Cramér,number theory
Harald Cramér,probability theory
Harald Cramér,probabilistic number theory
Harald Cramér,statistical theory
Harald Cramér,statistics
Samuel Earnshaw,calculus
Samuel Earnshaw,theoretical physics
Samuel Earnshaw,trigonometry
Lazar Lyusternik,differential geometry
Lazar Lyusternik,geometry
Lazar Lyusternik,topology
Pafnuty Chebyshev,algebra
Pafnuty Chebyshev,analysis
Pafnuty Chebyshev,arithmetic
Pafnuty Chebyshev,geometry
Pafnuty Chebyshev,number theory
Pafnuty Chebyshev,probability theory
Pafnuty Chebyshev,statistics
Vyacheslav Stepanov,analysis
Vyacheslav Stepanov,dynamical systems theory
Vyacheslav Stepanov,topology
Sofya Yanovskaya,analysis
Sofya Yanovskaya,mathematical logic
Sofya Yanovskaya,non-standard analysis
Sōichi Kakeya,analysis
Victor Schlegel,algebra
Victor Schlegel,algebraic geometry
Victor Schlegel,geometric algebra
Victor Schlegel,geometry
Victor Schlegel,hyperbolic geometry
Victor Schlegel,linear algebra
Victor Schlegel,multilinear algebra
Victor Schlegel,plane geometry
Victor Schlegel,projective geometry
Virgil Snyder,algebra
Virgil Snyder,algebraic geometry
Virgil Snyder,geometry
Waloddi Weibull,analysis
Waloddi Weibull,probability theory
Waloddi Weibull,statistics
Leonid Leibenzon,applied mathematics
Joseph Liouville,analysis
Joseph Liouville,calculus
Joseph Liouville,complex analysis
Joseph Liouville,differential calculus
Joseph Liouville,differential geometry
Joseph Liouville,geometry
Joseph Liouville,mathematical physics
Joseph Liouville,number theory
Joseph Liouville,topology
Carl Anton Bretschneider,geometry
Carl Anton Bretschneider,number theory
Charles Loewner,algebra
Charles Loewner,analysis
Charles Loewner,function theory
Charles Loewner,geometric function theory
Charles Loewner,geometry
Charles Loewner,linear algebra
Wander Johannes de Haas,theoretical physics
Gaetano Scorza,algebra
Gaetano Scorza,algebraic geometry
Gaetano Scorza,geometry
Aurel Voss,geometry
Charles Méray,arithmetic
Jenő Egerváry,algebra
Jenő Egerváry,combinatorial optimization
Jenő Egerváry,geometry
Jenő Egerváry,matrix theory
Friedrich Dingeldey,knot theory
Friedrich Dingeldey,topology
Ivan Matveevich Vinogradov,analytic number theory
Ivan Matveevich Vinogradov,number theory
Pavel Samuilovich Urysohn,topology
Agner Krarup Erlang,analysis
Dimitrie Pompeiu,analysis
Dimitrie Pompeiu,geometry
Dimitrie Pompeiu,integral geometry
Dimitrie Pompeiu,real analysis
William Caspar Graustein,geometry
Salomon Bochner,algebra
Salomon Bochner,analysis
Salomon Bochner,commutative algebra
Salomon Bochner,differential geometry
Salomon Bochner,geometry
Salomon Bochner,harmonic analysis
Salomon Bochner,probability theory
Salomon Bochner,representation theory
Jules Tannery,algebra
Jules Tannery,geometry
Jules Tannery,synthetic geometry
Gabriel Xavier Paul Koenigs,analysis
Gabriel Xavier Paul Koenigs,geometry
Gaston Floquet,analysis
Georg Feigl,geometry
Georg Feigl,theoretical physics
Georg Feigl,topology
Georg Landsberg,algebra
Georg Landsberg,arithmetic
Georg Landsberg,calculus
Georg Landsberg,calculus of variations
Julio Rey Pastor,algebra
Julio Rey Pastor,geometry
Julio Rey Pastor,synthetic geometry
Gerhard Thomsen,differential geometry
Gerhard Thomsen,geometry
Gerhard Thomsen,theoretical physics
Trygve Nagell,analysis
Trygve Nagell,arithmetic
Trygve Nagell,geometry
Trygve Nagell,number theory
Abel Transon,algebra
Abel Transon,calculus
Abel Transon,geometry
Asaph Hall,geometry
Caspar Isenkrahe,algebra
Rudolf Rothe,analysis
Rudolf Rothe,differential geometry
Rudolf Rothe,function theory
Rudolf Rothe,geometry
Rudolf Rothe,vector analysis
Theodor Reye,geometry
Theodor Reye,projective geometry
Theodor Reye,synthetic geometry
Georges Valiron,analysis
Georges Valiron,differential geometry
Georges Valiron,differential geometry of curves
Georges Valiron,geometry
Julius Weingarten,differential geometry
Julius Weingarten,differential geometry of surfaces
Julius Weingarten,geometry
Piers Bohl,topology
Joseph Ritt,algebra
Alexander Friedmann,analysis
Alexander Friedmann,geometry
Alexander Friedmann,ring theory
Gerrit Mannoury,elementary mathematics
Gerrit Mannoury,geometry
Gerrit Mannoury,projective geometry
Ernst Hellinger,analysis
Sofia Kovalevskaya,algebra
Sofia Kovalevskaya,analysis
Sofia Kovalevskaya,calculus
Sofia Kovalevskaya,computational mathematics
Sofia Kovalevskaya,elementary mathematics
Giuseppe Peano,algebra
Giuseppe Peano,analysis
Giuseppe Peano,arithmetic
Giuseppe Peano,calculus
Giuseppe Peano,geometry
Giuseppe Peano,infinitesimal calculus
Giuseppe Peano,mathematical logic
Giuseppe Peano,set theory
Giuseppe Peano,vector analysis
Herman Hollerith,statistics
John Hasbrouck Van Vleck,field theory
Leopold Vietoris,geometry
Leopold Vietoris,homology theory
Leopold Vietoris,topology
Wilhelm Wirtinger,algebra
Wilhelm Wirtinger,analysis
Wilhelm Wirtinger,complex analysis
Wilhelm Wirtinger,geometry
Wilhelm Wirtinger,knot theory
Wilhelm Wirtinger,number theory
Wilhelm Wirtinger,spectral theory
Mihajlo Pupin,analysis
Mihajlo Pupin,mathematical physics
Leonida Tonelli,analysis
Leonida Tonelli,calculus
Leonida Tonelli,calculus of variations
Leonida Tonelli,functional analysis
Leonida Tonelli,measure theory
Pavel Nekrasov,algebra
Pavel Nekrasov,analysis
Pavel Nekrasov,mathematical economics
Pavel Nekrasov,probability theory
Viktor Valentinovich Novozhilov,analysis
Viktor Valentinovich Novozhilov,statistics
Konstantin Posse,analysis
Konstantin Posse,approximation theory
Andrea Razmadze,calculus
Andrea Razmadze,calculus of variations
Andrey Markov,algebra
Andrey Markov,analysis
Andrey Markov,analytic geometry
Andrey Markov,calculus
Andrey Markov,constructive mathematics
Andrey Markov,differential calculus
Andrey Markov,function theory
Andrey Markov,geometry
Andrey Markov,integral calculus
Andrey Markov,number theory
Andrey Markov,probability theory
Andrey Markov,statistics
Andrey Markov,stochastic process
Mihailo Petrović,cryptography
Mihailo Petrović,mathematical sciences
Vilhelm Bjerknes,analysis
Vilhelm Bjerknes,mathematical physics
Simon Newcomb,analysis
Simon Newcomb,applied mathematics
Simon Newcomb,statistics
Jacques Hadamard,analysis
Jacques Hadamard,calculus
Jacques Hadamard,calculus of variations
Jacques Hadamard,complex analysis
Jacques Hadamard,differential geometry
Jacques Hadamard,differential geometry of surfaces
Jacques Hadamard,function theory
Jacques Hadamard,functional analysis
Jacques Hadamard,geometry
Jacques Hadamard,mathematical physics
Jacques Hadamard,number theory
Jacques Hadamard,probability theory
Jacques Hadamard,symbolic dynamics
Henri Lebesgue,analysis
Henri Lebesgue,calculus
Henri Lebesgue,complex analysis
Henri Lebesgue,geometry
Henri Lebesgue,integral calculus
Henri Lebesgue,measure theory
