Source,Target,Weight
"""measure theory""","""axiomatic set theory""",2
"""model theory""","""axiomatic set theory""",5
"""number theory""","""axiomatic set theory""",3
"""order theory""","""axiomatic set theory""",2
"""potential theory""","""axiomatic set theory""",1
"""probability theory""","""axiomatic set theory""",1
"""pure mathematics""","""axiomatic set theory""",2
"""set-theoretic topology""","""axiomatic set theory""",1
"""set theory""","""axiomatic set theory""",16
"""statistics""","""axiomatic set theory""",2
"""stochastic process""","""axiomatic set theory""",1
"""topology""","""axiomatic set theory""",5
"""analysis""","""biostatistics""",6
"""arithmetic""","""biostatistics""",1
"""geometry""","""biostatistics""",1
"""statistics""","""biostatistics""",10
"""vector analysis""","""biostatistics""",1
"""abstract algebra""","""birational geometry""",1
"""algebra""","""birational geometry""",7
"""algebraic geometry""","""birational geometry""",7
"""analysis""","""birational geometry""",3
"""applied mathematics""","""birational geometry""",1
"""commutative algebra""","""birational geometry""",3
"""complex analysis""","""birational geometry""",2
"""differential geometry""","""birational geometry""",1
"""geometry""","""birational geometry""",7
"""rational geometry""","""birational geometry""",7
"""singularity theory""","""birational geometry""",1
"""topology""","""birational geometry""",2
"""valuation theory""","""birational geometry""",1
"""absolute differential calculus""","""calculus""",9
"""absolute geometry""","""calculus""",1
"""abstract algebra""","""calculus""",18
"""actuarial science""","""calculus""",2
"""additive number theory""","""calculus""",1
"""algebra""","""calculus""",133
"""algebraic analysis""","""calculus""",4
"""algebraic geometry""","""calculus""",16
"""algebraic number theory""","""calculus""",4
"""algebraic topology""","""calculus""",7
"""analysis""","""calculus""",169
"""analytic geometry""","""calculus""",20
"""analytic number theory""","""calculus""",6
"""applied mathematics""","""calculus""",33
"""approximation theory""","""calculus""",5
"""arithmetic""","""calculus""",45
"""arithmetic geometry""","""calculus""",1
"""axiomatic set theory""","""calculus""",7
"""calculus of variations""","""calculus""",64
"""class field theory""","""calculus""",5
"""classical differential geometry""","""calculus""",2
"""classical analysis""","""calculus""",3
"""classical geometry""","""calculus""",2
"""classical invariant theory""","""calculus""",1
"""classical mathematics""","""calculus""",1
"""combinatorial optimization""","""calculus""",2
"""combinatorial topology""","""calculus""",4
"""combinatorics""","""calculus""",14
"""commutative algebra""","""calculus""",4
"""complex analysis""","""calculus""",27
"""computability theory""","""calculus""",2
"""computational geometry""","""calculus""",1
"""computer algebra""","""calculus""",1
"""conformal geometry""","""calculus""",1
"""constructive function theory""","""calculus""",2
"""constructive mathematics""","""calculus""",4
"""coordinate geometry""","""calculus""",2
"""cryptography""","""calculus""",6
"""descriptive set theory""","""calculus""",2
"""differential calculus""","""calculus""",44
"""differential geometry""","""calculus""",48
"""differential geometry of curves""","""calculus""",4
"""differential geometry of surfaces""","""calculus""",3
"""differential topology""","""calculus""",5
"""discrete geometry""","""calculus""",1
"""elementary algebra""","""calculus""",2
"""elementary mathematics""","""calculus""",6
"""elimination theory""","""calculus""",1
"""epidemiology""","""calculus""",2
"""ergodic theory""","""calculus""",3
"""euclidean geometry""","""calculus""",1
"""exterior algebra""","""calculus""",4
"""field theory""","""calculus""",8
"""fractal geometry""","""calculus""",1
"""function theory""","""calculus""",15
"""functional analysis""","""calculus""",25
"""game theory""","""calculus""",11
"""gauge theory""","""calculus""",2
"""general topology""","""calculus""",6
"""geometric algebra""","""calculus""",3
"""geometric calculus""","""calculus""",1
"""geometry""","""calculus""",140
"""geometry of numbers""","""calculus""",2
"""global analysis""","""calculus""",3
"""graph theory""","""calculus""",7
"""group theory""","""calculus""",14
"""harmonic analysis""","""calculus""",10
"""hyperbolic geometry""","""calculus""",3
"""hyperbolic trigonometry""","""calculus""",1
"""ideal theory""","""calculus""",2
"""infinitesimal analysis""","""calculus""",9
"""infinitesimal calculus""","""calculus""",24
"""integral calculus""","""calculus""",34
"""integral geometry""","""calculus""",3
"""invariant theory""","""calculus""",7
"""lattice theory""","""calculus""",2
"""line geometry""","""calculus""",1
"""linear algebra""","""calculus""",13
"""linear functional analysis""","""calculus""",4
"""local class field theory""","""calculus""",1
"""mathematical biology""","""calculus""",3
"""mathematical economics""","""calculus""",5
"""mathematical logic""","""calculus""",32
"""mathematical physics""","""calculus""",40
"""mathematical sciences""","""calculus""",9
"""mathematical sociology""","""calculus""",1
"""matrix algebra""","""calculus""",2
"""matrix calculus""","""calculus""",1
"""matrix theory""","""calculus""",4
"""measure theory""","""calculus""",13
"""metric geometry""","""calculus""",1
"""microlocal analysis""","""calculus""",2
"""model theory""","""calculus""",8
"""modern algebra""","""calculus""",9
"""multilinear algebra""","""calculus""",2
"""non-euclidean geometry""","""calculus""",1
"""non-standard analysis""","""calculus""",5
"""noncommutative algebra""","""calculus""",2
"""nonlinear functional analysis""","""calculus""",4
"""number theory""","""calculus""",44
"""numerical analysis""","""calculus""",10
"""order theory""","""calculus""",3
"""partition theory""","""calculus""",1
"""plane geometry""","""calculus""",4
"""point-set topology""","""calculus""",2
"""potential theory""","""calculus""",14
"""probability theory""","""calculus""",28
"""projective geometry""","""calculus""",12
"""proof theory""","""calculus""",9
"""pure mathematics""","""calculus""",18
"""real algebra""","""calculus""",5
"""real algebraic geometry""","""calculus""",3
"""real analysis""","""calculus""",15
"""recreational mathematics""","""calculus""",4
"""recursion theory""","""calculus""",3
"""representation theory""","""calculus""",3
"""representation theory of groups""","""calculus""",1
"""ring theory""","""calculus""",10
"""set theory""","""calculus""",30
"""smooth infinitesimal analysis""","""calculus""",1
"""solid geometry""","""calculus""",5
"""spectral theory""","""calculus""",4
"""spherical geometry""","""calculus""",2
"""spherical trigonometry""","""calculus""",5
"""statistical theory""","""calculus""",1
"""statistics""","""calculus""",26
"""stochastic process""","""calculus""",9
"""symplectic geometry""","""calculus""",5
"""synthetic geometry""","""calculus""",2
"""tensor""","""calculus""",27
"""theoretical physics""","""calculus""",19
"""topology""","""calculus""",44
"""trigonometry""","""calculus""",17
"""type theory""","""calculus""",6
"""umbral calculus""","""calculus""",3
"""variational analysis""","""calculus""",1
"""vector algebra""","""calculus""",2
"""vector analysis""","""calculus""",5
"""vector calculus""","""calculus""",5
"""abstract algebra""","""calculus of variations""",3
"""algebra""","""calculus of variations""",27
"""algebraic geometry""","""calculus of variations""",2
"""algebraic number theory""","""calculus of variations""",2
"""algebraic topology""","""calculus of variations""",2
"""analysis""","""calculus of variations""",41
"""analytic geometry""","""calculus of variations""",4
"""analytic number theory""","""calculus of variations""",2
"""applied mathematics""","""calculus of variations""",8
"""approximation theory""","""calculus of variations""",2
"""arithmetic""","""calculus of variations""",5
"""arithmetic geometry""","""calculus of variations""",1
"""axiomatic set theory""","""calculus of variations""",1
"""calculus""","""calculus of variations""",64
"""class field theory""","""calculus of variations""",2
"""classical geometry""","""calculus of variations""",1
"""classical invariant theory""","""calculus of variations""",1
"""classical mathematics""","""calculus of variations""",1
"""combinatorial topology""","""calculus of variations""",3
"""combinatorics""","""calculus of variations""",3
"""commutative algebra""","""calculus of variations""",2
"""complex analysis""","""calculus of variations""",8
"""computational geometry""","""calculus of variations""",1
"""constructive function theory""","""calculus of variations""",2
"""constructive mathematics""","""calculus of variations""",1
"""differential calculus""","""calculus of variations""",5
"""differential geometry""","""calculus of variations""",13
"""differential geometry of curves""","""calculus of variations""",1
"""differential topology""","""calculus of variations""",2
"""elementary mathematics""","""calculus of variations""",1
"""elimination theory""","""calculus of variations""",1
"""field theory""","""calculus of variations""",4
"""function theory""","""calculus of variations""",5
"""functional analysis""","""calculus of variations""",11
"""game theory""","""calculus of variations""",4
"""general topology""","""calculus of variations""",1
"""geometric algebra""","""calculus of variations""",1
"""geometry""","""calculus of variations""",30
"""global analysis""","""calculus of variations""",1
"""graph theory""","""calculus of variations""",2
"""group theory""","""calculus of variations""",5
"""ideal theory""","""calculus of variations""",1
"""infinitesimal analysis""","""calculus of variations""",1
"""infinitesimal calculus""","""calculus of variations""",1
"""integral calculus""","""calculus of variations""",3
"""integral geometry""","""calculus of variations""",2
"""invariant theory""","""calculus of variations""",2
"""linear algebra""","""calculus of variations""",5
"""linear functional analysis""","""calculus of variations""",3
"""local class field theory""","""calculus of variations""",1
"""mathematical economics""","""calculus of variations""",3
"""mathematical logic""","""calculus of variations""",4
"""mathematical physics""","""calculus of variations""",15
"""mathematical sciences""","""calculus of variations""",2
"""matrix algebra""","""calculus of variations""",1
"""microlocal analysis""","""calculus of variations""",1
"""modern algebra""","""calculus of variations""",3
"""noncommutative algebra""","""calculus of variations""",1
"""nonlinear functional analysis""","""calculus of variations""",3
"""number theory""","""calculus of variations""",8
"""plane geometry""","""calculus of variations""",1
"""potential theory""","""calculus of variations""",4
"""probability theory""","""calculus of variations""",6
"""projective geometry""","""calculus of variations""",3
"""proof theory""","""calculus of variations""",1
"""pure mathematics""","""calculus of variations""",4
"""real analysis""","""calculus of variations""",5
"""recursion theory""","""calculus of variations""",1
"""representation theory""","""calculus of variations""",2
"""representation theory of groups""","""calculus of variations""",1
"""ring theory""","""calculus of variations""",2
"""set theory""","""calculus of variations""",7
"""solid geometry""","""calculus of variations""",1
"""spectral theory""","""calculus of variations""",3
"""spherical geometry""","""calculus of variations""",1
"""spherical trigonometry""","""calculus of variations""",2
"""statistics""","""calculus of variations""",3
"""symplectic geometry""","""calculus of variations""",1
"""synthetic geometry""","""calculus of variations""",2
"""tensor""","""calculus of variations""",2
"""theoretical physics""","""calculus of variations""",5
"""topology""","""calculus of variations""",10
"""trigonometry""","""calculus of variations""",3
"""variational analysis""","""calculus of variations""",1
"""vector algebra""","""calculus of variations""",1
"""algebra""","""chaos theory""",4
"""algebraic geometry""","""chaos theory""",1
"""algebraic topology""","""chaos theory""",1
"""analysis""","""chaos theory""",3
"""analytic number theory""","""chaos theory""",1
"""applied mathematics""","""chaos theory""",2
"""arithmetic""","""chaos theory""",1
"""combinatorial topology""","""chaos theory""",1
"""diophantine geometry""","""chaos theory""",1
"""dynamical systems theory""","""chaos theory""",1
"""function theory""","""chaos theory""",1
"""geometric topology""","""chaos theory""",1
"""geometry""","""chaos theory""",5
"""group theory""","""chaos theory""",2
"""hyperbolic geometry""","""chaos theory""",1
"""mathematical physics""","""chaos theory""",2
"""number theory""","""chaos theory""",3
"""perturbation theory""","""chaos theory""",1
"""potential theory""","""chaos theory""",1
"""set theory""","""chaos theory""",2
"""theoretical physics""","""chaos theory""",1
"""topology""","""chaos theory""",3
"""trigonometry""","""chaos theory""",1
"""abstract algebra""","""class field theory""",6
"""algebra""","""class field theory""",14
"""algebraic geometry""","""class field theory""",5
"""algebraic number theory""","""class field theory""",7
"""algebraic topology""","""class field theory""",3
"""analysis""","""class field theory""",2
"""analytic number theory""","""class field theory""",2
"""applied mathematics""","""class field theory""",3
"""arithmetic""","""class field theory""",5
"""arithmetic geometry""","""class field theory""",2
"""calculus""","""class field theory""",5
"""calculus of variations""","""class field theory""",2
"""classical geometry""","""class field theory""",1
"""classical invariant theory""","""class field theory""",1
"""classical mathematics""","""class field theory""",1
"""combinatorial topology""","""class field theory""",1
"""commutative algebra""","""class field theory""",3
"""differential geometry""","""class field theory""",3
"""diophantine geometry""","""class field theory""",2
"""elimination theory""","""class field theory""",1
"""field theory""","""class field theory""",16
"""function theory""","""class field theory""",2
"""functional analysis""","""class field theory""",2
"""geometry""","""class field theory""",13
"""group theory""","""class field theory""",2
"""ideal theory""","""class field theory""",3
"""invariant theory""","""class field theory""",2
"""local class field theory""","""class field theory""",3
"""mathematical logic""","""class field theory""",2
"""mathematical physics""","""class field theory""",3
"""modern algebra""","""class field theory""",1
"""noncommutative algebra""","""class field theory""",1
"""number theory""","""class field theory""",13
"""plane geometry""","""class field theory""",1
"""projective geometry""","""class field theory""",1
"""proof theory""","""class field theory""",2
"""recursion theory""","""class field theory""",1
"""representation theory""","""class field theory""",1
"""representation theory of groups""","""class field theory""",1
"""ring theory""","""class field theory""",2
"""set theory""","""class field theory""",1
"""solid geometry""","""class field theory""",1
"""spectral theory""","""class field theory""",1
"""statistics""","""class field theory""",1
"""symplectic geometry""","""class field theory""",1
"""theoretical physics""","""class field theory""",1
"""topology""","""class field theory""",3
"""algebra""","""classical differential geometry""",3
"""algebraic topology""","""classical differential geometry""",1
"""analysis""","""classical differential geometry""",3
"""analytic number theory""","""classical differential geometry""",1
"""calculus""","""classical differential geometry""",2
"""differential geometry""","""classical differential geometry""",5
"""differential topology""","""classical differential geometry""",1
"""exterior algebra""","""classical differential geometry""",1
"""geometry""","""classical differential geometry""",5
"""invariant theory""","""classical differential geometry""",1
"""number theory""","""classical differential geometry""",1
"""tensor""","""classical differential geometry""",1
"""topology""","""classical differential geometry""",1
"""algebra""","""classical analysis""",2
"""analysis""","""classical analysis""",8
"""calculus""","""classical analysis""",3
"""complex analysis""","""classical analysis""",1
"""functional analysis""","""classical analysis""",3
"""harmonic analysis""","""classical analysis""",3
"""mathematical physics""","""classical analysis""",2
"""numerical analysis""","""classical analysis""",1
"""operator theory""","""classical analysis""",2
"""potential theory""","""classical analysis""",2
"""spectral theory""","""classical analysis""",1
"""tensor""","""classical analysis""",2
"""algebra""","""classical geometry""",3
"""algebraic number theory""","""classical geometry""",1
"""analysis""","""classical geometry""",2
"""analytic geometry""","""classical geometry""",1
"""analytic number theory""","""classical geometry""",1
"""applied mathematics""","""classical geometry""",1
"""arithmetic""","""classical geometry""",1
"""calculus""","""classical geometry""",2
"""calculus of variations""","""classical geometry""",1
"""class field theory""","""classical geometry""",1
"""classical mathematics""","""classical geometry""",1
"""commutative algebra""","""classical geometry""",1
"""differential geometry""","""classical geometry""",2
"""field theory""","""classical geometry""",1
"""function theory""","""classical geometry""",1
"""functional analysis""","""classical geometry""",1
"""geometry""","""classical geometry""",4
"""infinitesimal analysis""","""classical geometry""",1
"""infinitesimal calculus""","""classical geometry""",1
"""invariant theory""","""classical geometry""",1
"""local class field theory""","""classical geometry""",1
"""mathematical logic""","""classical geometry""",1
"""mathematical physics""","""classical geometry""",2
"""number theory""","""classical geometry""",1
"""plane geometry""","""classical geometry""",1
"""probability theory""","""classical geometry""",1
"""proof theory""","""classical geometry""",1
"""pure mathematics""","""classical geometry""",1
"""recursion theory""","""classical geometry""",1
"""set theory""","""classical geometry""",1
"""solid geometry""","""classical geometry""",1
"""spectral theory""","""classical geometry""",1
"""abstract algebra""","""classical invariant theory""",1
"""algebra""","""classical invariant theory""",1
"""algebraic geometry""","""classical invariant theory""",1
"""algebraic topology""","""classical invariant theory""",1
"""applied mathematics""","""classical invariant theory""",1
"""arithmetic""","""classical invariant theory""",1
"""arithmetic geometry""","""classical invariant theory""",1
"""calculus""","""classical invariant theory""",1
"""calculus of variations""","""classical invariant theory""",1
"""class field theory""","""classical invariant theory""",1
"""combinatorial topology""","""classical invariant theory""",1
"""commutative algebra""","""classical invariant theory""",1
"""elimination theory""","""classical invariant theory""",1
"""field theory""","""classical invariant theory""",1
"""geometry""","""classical invariant theory""",1
"""group theory""","""classical invariant theory""",1
"""ideal theory""","""classical invariant theory""",1
"""invariant theory""","""classical invariant theory""",1
"""mathematical physics""","""classical invariant theory""",1
"""modern algebra""","""classical invariant theory""",1
"""noncommutative algebra""","""classical invariant theory""",1
"""number theory""","""classical invariant theory""",1
"""projective geometry""","""classical invariant theory""",1
"""representation theory""","""classical invariant theory""",1
"""representation theory of groups""","""classical invariant theory""",1
"""ring theory""","""classical invariant theory""",1
"""statistics""","""classical invariant theory""",1
"""theoretical physics""","""classical invariant theory""",1
"""topology""","""classical invariant theory""",1
"""algebra""","""classical mathematics""",3
"""algebraic number theory""","""classical mathematics""",1
"""analysis""","""classical mathematics""",3
"""analytic number theory""","""classical mathematics""",1
"""arithmetic""","""classical mathematics""",1
"""calculus""","""classical mathematics""",1
"""calculus of variations""","""classical mathematics""",1
"""class field theory""","""classical mathematics""",1
"""classical geometry""","""classical mathematics""",1
"""commutative algebra""","""classical mathematics""",1
"""differential geometry""","""classical mathematics""",1
"""field theory""","""classical mathematics""",2
"""function theory""","""classical mathematics""",1
"""functional analysis""","""classical mathematics""",1
"""geometry""","""classical mathematics""",2
"""invariant theory""","""classical mathematics""",1
"""local class field theory""","""classical mathematics""",1
"""mathematical logic""","""classical mathematics""",1
"""mathematical physics""","""classical mathematics""",2
"""number theory""","""classical mathematics""",1
"""plane geometry""","""classical mathematics""",1
"""proof theory""","""classical mathematics""",1
"""recursion theory""","""classical mathematics""",1
"""set theory""","""classical mathematics""",1
"""solid geometry""","""classical mathematics""",1
"""spectral theory""","""classical mathematics""",1
"""algebra""","""cohomology theory""",10
"""algebraic geometry""","""cohomology theory""",6
"""algebraic topology""","""cohomology theory""",7
"""analysis""","""cohomology theory""",6
"""geometry""","""cohomology theory""",7
"""homology theory""","""cohomology theory""",11
"""knot theory""","""cohomology theory""",2
"""topology""","""cohomology theory""",10
"""analysis""","""combinatorial analysis""",4
"""game theory""","""combinatorial game theory""",5
"""geometry""","""combinatorial game theory""",2
"""number theory""","""combinatorial game theory""",3
"""algebra""","""combinatorial group theory""",5
"""algebraic number theory""","""combinatorial group theory""",1
"""analysis""","""combinatorial group theory""",2
"""axiomatic geometry""","""combinatorial group theory""",1
"""combinatorial topology""","""combinatorial group theory""",2
"""differential geometry""","""combinatorial group theory""",1
"""geometric group theory""","""combinatorial group theory""",3
"""geometry""","""combinatorial group theory""",3
"""group theory""","""combinatorial group theory""",8
"""knot theory""","""combinatorial group theory""",2
"""number theory""","""combinatorial group theory""",2
"""tessellation""","""combinatorial group theory""",3
"""topology""","""combinatorial group theory""",5
"""algebra""","""combinatorial mathematics""",1
"""analysis""","""combinatorial mathematics""",1
"""combinatorial theory""","""combinatorial mathematics""",1
"""combinatorics""","""combinatorial mathematics""",2
"""geometry""","""combinatorial mathematics""",1
"""mathematical physics""","""combinatorial mathematics""",1
"""number theory""","""combinatorial mathematics""",1
"""numerical analysis""","""combinatorial mathematics""",1
"""probability theory""","""combinatorial mathematics""",1
"""analysis""","""combinatorial optimization""",3
"""calculus""","""combinatorial optimization""",2
"""geometry""","""combinatorial optimization""",2
"""geometry of numbers""","""combinatorial optimization""",1
"""integral calculus""","""combinatorial optimization""",1
"""number theory""","""combinatorial optimization""",2
"""real analysis""","""combinatorial optimization""",1
"""algebra""","""combinatorial theory""",3
"""analysis""","""combinatorial theory""",3
"""combinatorial mathematics""","""combinatorial theory""",1
"""combinatorics""","""combinatorial theory""",2
"""geometry""","""combinatorial theory""",2
"""mathematical physics""","""combinatorial theory""",2
"""number theory""","""combinatorial theory""",1
"""numerical analysis""","""combinatorial theory""",1
"""probability theory""","""combinatorial theory""",1
"""abstract algebra""","""combinatorial topology""",1
"""algebra""","""combinatorial topology""",8
"""algebraic geometry""","""combinatorial topology""",2
"""algebraic number theory""","""combinatorial topology""",1
"""algebraic topology""","""combinatorial topology""",4
"""analysis""","""combinatorial topology""",5
"""applied mathematics""","""combinatorial topology""",2
"""arithmetic""","""combinatorial topology""",2
"""arithmetic geometry""","""combinatorial topology""",1
"""axiomatic geometry""","""combinatorial topology""",1
"""calculus""","""combinatorial topology""",4
"""calculus of variations""","""combinatorial topology""",3
"""chaos theory""","""combinatorial topology""",1
"""class field theory""","""combinatorial topology""",1
"""classical invariant theory""","""combinatorial topology""",1
"""combinatorial group theory""","""combinatorial topology""",2
"""commutative algebra""","""combinatorial topology""",1
"""complex analysis""","""combinatorial topology""",1
"""differential geometry""","""combinatorial topology""",1
"""dynamical systems theory""","""combinatorial topology""",1
"""elimination theory""","""combinatorial topology""",1
"""field theory""","""combinatorial topology""",1
"""general topology""","""combinatorial topology""",2
"""geometric group theory""","""combinatorial topology""",2
"""geometric topology""","""combinatorial topology""",1
"""geometry""","""combinatorial topology""",7
"""group theory""","""combinatorial topology""",4
"""hyperbolic geometry""","""combinatorial topology""",1
"""ideal theory""","""combinatorial topology""",1
"""invariant theory""","""combinatorial topology""",1
"""knot theory""","""combinatorial topology""",2
"""mathematical logic""","""combinatorial topology""",2
"""mathematical physics""","""combinatorial topology""",2
"""modern algebra""","""combinatorial topology""",2
"""noncommutative algebra""","""combinatorial topology""",1
"""number theory""","""combinatorial topology""",3
"""perturbation theory""","""combinatorial topology""",1
"""potential theory""","""combinatorial topology""",2
"""projective geometry""","""combinatorial topology""",1
"""pure mathematics""","""combinatorial topology""",1
"""representation theory""","""combinatorial topology""",1
"""representation theory of groups""","""combinatorial topology""",1
"""ring theory""","""combinatorial topology""",1
"""set theory""","""combinatorial topology""",2
"""statistics""","""combinatorial topology""",1
"""theoretical physics""","""combinatorial topology""",2
"""topology""","""combinatorial topology""",12
"""abstract algebra""","""combinatorics""",8
"""actuarial science""","""combinatorics""",2
"""algebra""","""combinatorics""",42
"""analysis""","""combinatorics""",38
"""analytic combinatorics""","""combinatorics""",2
"""arithmetic""","""combinatorics""",15
"""calculus""","""combinatorics""",14
"""calculus of variations""","""combinatorics""",3
"""combinatorial mathematics""","""combinatorics""",2
"""combinatorial theory""","""combinatorics""",2
"""complex analysis""","""combinatorics""",4
"""computational geometry""","""combinatorics""",2
"""differential calculus""","""combinatorics""",3
"""differential geometry""","""combinatorics""",3
"""discrete geometry""","""combinatorics""",3
"""enumerative combinatorics""","""combinatorics""",3
"""epidemiology""","""combinatorics""",1
"""finite geometry""","""combinatorics""",3
"""fractal geometry""","""combinatorics""",1
"""game theory""","""combinatorics""",5
"""geometry""","""combinatorics""",36
"""graph theory""","""combinatorics""",32
"""group theory""","""combinatorics""",16
"""infinitesimal analysis""","""combinatorics""",1
"""integral calculus""","""combinatorics""",1
"""invariant theory""","""combinatorics""",2
"""knot theory""","""combinatorics""",2
"""lattice theory""","""combinatorics""",3
"""linear algebra""","""combinatorics""",3
"""mathematical logic""","""combinatorics""",3
"""mathematical physics""","""combinatorics""",5
"""matrix theory""","""combinatorics""",4
"""model theory""","""combinatorics""",1
"""modern algebra""","""combinatorics""",1
"""non-standard analysis""","""combinatorics""",1
"""number theory""","""combinatorics""",33
"""numerical analysis""","""combinatorics""",2
"""partition theory""","""combinatorics""",1
"""probability theory""","""combinatorics""",8
"""projective geometry""","""combinatorics""",3
"""recreational mathematics""","""combinatorics""",6
"""representation theory""","""combinatorics""",7
"""ring theory""","""combinatorics""",5
"""set theory""","""combinatorics""",8
"""synthetic geometry""","""combinatorics""",1
"""tensor""","""combinatorics""",3
"""theoretical physics""","""combinatorics""",1
"""topology""","""combinatorics""",16
"""umbral calculus""","""combinatorics""",2
"""abstract algebra""","""commutative algebra""",4
"""algebra""","""commutative algebra""",29
"""algebraic geometry""","""commutative algebra""",17
"""algebraic number theory""","""commutative algebra""",3
"""algebraic topology""","""commutative algebra""",5
"""analysis""","""commutative algebra""",9
"""analytic number theory""","""commutative algebra""",2
"""applied mathematics""","""commutative algebra""",2
"""arithmetic""","""commutative algebra""",4
"""arithmetic geometry""","""commutative algebra""",3
"""birational geometry""","""commutative algebra""",3
"""calculus""","""commutative algebra""",4
"""calculus of variations""","""commutative algebra""",2
"""class field theory""","""commutative algebra""",3
"""classical geometry""","""commutative algebra""",1
"""classical invariant theory""","""commutative algebra""",1
"""classical mathematics""","""commutative algebra""",1
"""combinatorial topology""","""commutative algebra""",1
"""complex analysis""","""commutative algebra""",4
"""computer algebra""","""commutative algebra""",1
"""differential geometry""","""commutative algebra""",5
"""differential geometry of surfaces""","""commutative algebra""",1
"""elimination theory""","""commutative algebra""",1
"""field theory""","""commutative algebra""",4
"""function theory""","""commutative algebra""",2
"""functional analysis""","""commutative algebra""",3
"""game theory""","""commutative algebra""",1
"""geometry""","""commutative algebra""",21
"""group theory""","""commutative algebra""",2
"""ideal theory""","""commutative algebra""",3
"""invariant theory""","""commutative algebra""",6
"""local class field theory""","""commutative algebra""",1
"""mathematical logic""","""commutative algebra""",3
"""mathematical physics""","""commutative algebra""",4
"""modern algebra""","""commutative algebra""",3
"""noncommutative algebra""","""commutative algebra""",3
"""number theory""","""commutative algebra""",7
"""plane geometry""","""commutative algebra""",1
"""projective geometry""","""commutative algebra""",4
"""proof theory""","""commutative algebra""",1
"""rational geometry""","""commutative algebra""",3
"""real analysis""","""commutative algebra""",1
"""recursion theory""","""commutative algebra""",1
"""representation theory""","""commutative algebra""",8
"""representation theory of groups""","""commutative algebra""",1
"""ring theory""","""commutative algebra""",3
"""set theory""","""commutative algebra""",3
"""singularity theory""","""commutative algebra""",1
"""solid geometry""","""commutative algebra""",1
"""spectral theory""","""commutative algebra""",1
"""statistics""","""commutative algebra""",1
"""tensor""","""commutative algebra""",4
"""theoretical physics""","""commutative algebra""",2
"""topology""","""commutative algebra""",9
"""valuation theory""","""commutative algebra""",3
"""absolute differential calculus""","""complex analysis""",4
"""abstract algebra""","""complex analysis""",5
"""algebra""","""complex analysis""",40
"""algebraic analysis""","""complex analysis""",3
"""algebraic geometry""","""complex analysis""",7
"""algebraic topology""","""complex analysis""",3
"""analysis""","""complex analysis""",113
"""analytic combinatorics""","""complex analysis""",1
"""analytic geometry""","""complex analysis""",5
"""analytic number theory""","""complex analysis""",8
"""applied mathematics""","""complex analysis""",11
"""arithmetic""","""complex analysis""",11
"""axiomatic set theory""","""complex analysis""",2
"""birational geometry""","""complex analysis""",2
"""calculus""","""complex analysis""",27
"""calculus of variations""","""complex analysis""",8
"""classical analysis""","""complex analysis""",1
"""combinatorial topology""","""complex analysis""",1
"""combinatorics""","""complex analysis""",4
"""commutative algebra""","""complex analysis""",4
"""constructive mathematics""","""complex analysis""",1
"""cryptography""","""complex analysis""",1
"""descriptive set theory""","""complex analysis""",2
"""differential calculus""","""complex analysis""",7
"""differential geometry""","""complex analysis""",17
"""differential geometry of surfaces""","""complex analysis""",2
"""dynamical systems theory""","""complex analysis""",1
"""elementary mathematics""","""complex analysis""",2
"""elimination theory""","""complex analysis""",1
"""euclidean geometry""","""complex analysis""",1
"""function theory""","""complex analysis""",20
"""functional analysis""","""complex analysis""",15
"""geometric algebra""","""complex analysis""",1
"""geometry""","""complex analysis""",44
"""graph theory""","""complex analysis""",5
"""group theory""","""complex analysis""",5
"""harmonic analysis""","""complex analysis""",8
"""infinitesimal analysis""","""complex analysis""",3
"""infinitesimal calculus""","""complex analysis""",3
"""integral calculus""","""complex analysis""",5
"""invariant theory""","""complex analysis""",3
"""line geometry""","""complex analysis""",1
"""linear algebra""","""complex analysis""",4
"""mathematical economics""","""complex analysis""",1
"""mathematical logic""","""complex analysis""",5
"""mathematical physics""","""complex analysis""",18
"""mathematical sciences""","""complex analysis""",4
"""measure theory""","""complex analysis""",7
"""metric geometry""","""complex analysis""",2
"""non-euclidean geometry""","""complex analysis""",1
"""non-standard analysis""","""complex analysis""",1
"""number theory""","""complex analysis""",21
"""operator theory""","""complex analysis""",2
"""order theory""","""complex analysis""",1
"""point-set topology""","""complex analysis""",2
"""potential theory""","""complex analysis""",9
"""probability theory""","""complex analysis""",6
"""projective geometry""","""complex analysis""",6
"""pure mathematics""","""complex analysis""",8
"""rational geometry""","""complex analysis""",2
"""real algebra""","""complex analysis""",2
"""real analysis""","""complex analysis""",8
"""set theory""","""complex analysis""",11
"""spectral theory""","""complex analysis""",3
"""statistics""","""complex analysis""",4
"""tensor""","""complex analysis""",8
"""theoretical physics""","""complex analysis""",4
"""topology""","""complex analysis""",18
"""trigonometry""","""complex analysis""",1
"""analysis""","""complex dynamics""",2
"""applied mathematics""","""complex dynamics""",1
"""differential geometry""","""complex geometry""",3
"""geometry""","""complex geometry""",4
"""analysis""","""complexity theory""",6
"""computational complexity theory""","""complexity theory""",5
"""analysis""","""computability theory""",2
"""calculus""","""computability theory""",2
"""mathematical logic""","""computability theory""",3
"""recursion theory""","""computability theory""",1
"""analysis""","""computational complexity theory""",3
"""complexity theory""","""computational complexity theory""",5
"""algebra""","""computational geometry""",2
"""analysis""","""computational geometry""",5
"""calculus""","""computational geometry""",1
"""calculus of variations""","""computational geometry""",1
"""combinatorics""","""computational geometry""",2
